                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5413,                 1.5605,                 1.5514,                0.41653,                0.53044,                0.46249,                0.22974,                  1.954,                 2.5534,                 2.1564,               0.006733,               0.006733,               0.006733
                     36,                 1.5442,                  1.582,                 1.5531,                0.39063,                0.61374,                0.47781,                0.26545,                 1.8377,                 2.2342,                 2.0601,               0.006634,               0.006634,               0.006634
                     37,                 1.5386,                   1.57,                 1.5466,                0.38746,                0.62887,                0.50314,                0.28973,                 1.9032,                  2.427,                 2.1098,               0.006535,               0.006535,               0.006535
                     38,                 1.5391,                 1.5576,                 1.5409,                0.42137,                0.56111,                0.46629,                0.27065,                 1.8702,                 2.4666,                 2.1014,               0.006436,               0.006436,               0.006436
                     39,                 1.5232,                 1.5219,                 1.5279,                0.46389,                0.59397,                0.49365,                0.28188,                 1.8466,                  2.061,                 2.0212,               0.006337,               0.006337,               0.006337
                     40,                 1.5198,                 1.5195,                 1.5437,                0.44981,                0.53687,                0.46874,                0.26663,                 1.7384,                 2.4111,                 1.9642,               0.006238,               0.006238,               0.006238
                     41,                 1.5069,                 1.4961,                   1.51,                0.37388,                0.62789,                0.51108,                0.27876,                 1.8283,                 2.1671,                 2.0778,               0.006139,               0.006139,               0.006139
                     42,                 1.5012,                 1.4685,                 1.5085,                0.37772,                0.70202,                0.53409,                0.32315,                 1.7786,                 2.1664,                 2.0138,                0.00604,                0.00604,                0.00604
                     43,                 1.4828,                 1.4767,                  1.504,                0.41328,                 0.5597,                0.44531,                0.25965,                 1.8077,                 2.2989,                 2.0371,               0.005941,               0.005941,               0.005941
                     44,                 1.4833,                 1.4598,                 1.5025,                0.45418,                0.61581,                0.53812,                0.30065,                 1.9106,                 2.2421,                 2.0956,               0.005842,               0.005842,               0.005842
                     45,                 1.4934,                 1.4438,                 1.5002,                0.54612,                0.54903,                0.50808,                0.29465,                  1.903,                 2.1368,                 2.0776,               0.005743,               0.005743,               0.005743
                     46,                 1.4773,                  1.466,                 1.5051,                0.41236,                0.60399,                0.46954,                0.28344,                 1.8272,                 2.4114,                 2.0617,               0.005644,               0.005644,               0.005644
                     47,                 1.4687,                 1.4526,                 1.4946,                0.48563,                 0.6302,                 0.5313,                0.32425,                 1.7416,                 2.1759,                 1.9546,               0.005545,               0.005545,               0.005545
                     48,                 1.4829,                 1.4454,                 1.4995,                0.41235,                0.65629,                0.54533,                0.33517,                 1.7506,                 1.9668,                 1.9696,               0.005446,               0.005446,               0.005446
                     49,                 1.4792,                 1.4459,                 1.5045,                0.46202,                0.59591,                0.48831,                0.28217,                 1.9164,                 2.2599,                 2.1378,               0.005347,               0.005347,               0.005347
